timestep,question ,action_node_id, bubble_size, bubble_scale
trial_1_1,Show me right shoulder,9,2,1,
trial_1_2,Show me Full Body,1,1,2,
trial_1_3,Show me left knee,21,1,0,
trial_1_4,Show me right shoulder,9,2,0,
trial_1_5,Show me Right Leg,7,0,0,
trial_1_6,Show me right ankle,19,2,0,
trial_1_7,Show me right elbow,10,1,2,
trial_1_8,Show me right shoulder,9,1,0,
trial_1_9,Show me Left Leg,8,0,0,
50,50,50,50,50,
trial_2_1,Show me Left Arm,6,1,1,
trial_2_2,Show me right wrist,11,0,2,
trial_2_3,Show me neck,13,0,2,
trial_2_4,Show me left wrist,16,1,1,
trial_2_5,Show me right ankle,19,2,0,
trial_2_6,Show me Upper Body,2,1,1,
trial_2_7,Show me right elbow,10,2,0,
trial_2_8,Show me Upper Body,2,2,1,
50,50,50,50,50,
trial_3_1,Show me right knee,18,2,0,
trial_3_2,Show me neck,13,0,0,
trial_3_3,Show me left elbow,15,1,2,
trial_3_4,Show me left hip,20,1,1,
trial_3_5,Show me neck,13,2,0,
trial_3_6,Show me left wrist,16,1,2,
50,50,50,50,50,
trial_4_1,Show me rigth hip,17,1,2,
trial_4_2,Show me left shoulder,14,0,2,
trial_4_3,Show me Right Arm,4,0,1,
trial_4_4,Show me Lower Body,3,0,2,
trial_4_5,Show me right shoulder,9,1,1,
trial_4_6,Show me Left Leg,8,1,2,
50,50,50,50,50,
trial_5_1,Show me Full Body,1,2,2,
trial_5_2,Show me Left Arm,6,2,2,
trial_5_3,Show me Right Leg,7,0,0,
trial_5_4,Show me left knee,21,1,0,
trial_5_5,Show me right elbow,10,0,1,
50,50,50,50,50,
trial_6_1,Show me Lower Body,3,2,0,
trial_6_2,Show me right elbow,10,1,0,
trial_6_3,Show me left elbow,15,1,0,
trial_6_4,Show me left elbow,15,1,2,
trial_6_5,Show me left elbow,15,2,0,
trial_6_6,Show me Lower Body,3,0,2,
trial_6_7,Show me left ankle,22,2,2,
trial_6_8,Show me right shoulder,9,1,2,
trial_6_9,Show me rigth hip,17,0,0,
50,50,50,50,50,
trial_7_1,Show me right wrist,11,2,0,
trial_7_2,Show me Full Body,1,1,1,
trial_7_3,Show me Right Leg,7,1,0,
trial_7_4,Show me right elbow,10,1,1,
trial_7_5,Show me Right Arm,4,2,0,
trial_7_6,Show me left knee,21,1,0,
trial_7_7,Show me Right Leg,7,0,0,
trial_7_8,Show me Left Arm,6,0,0,
trial_7_9,Show me left ankle,22,0,0,
50,50,50,50,50,
trial_8_1,Show me Lower Body,3,0,1,
trial_8_2,Show me right knee,18,0,2,
trial_8_3,Show me Right Leg,7,2,2,
trial_8_4,Show me Left Arm,6,1,0,
50,50,50,50,50,
trial_9_1,Show me right shoulder,9,2,1,
trial_9_2,Show me right ankle,19,2,0,
trial_9_3,Show me neck,13,2,1,
trial_9_4,Show me Left Leg,8,0,0,
trial_9_5,Show me Left Arm,6,1,2,
trial_9_6,Show me left hip,20,2,1,
trial_9_7,Show me rigth hip,17,2,1,
trial_9_8,Show me left elbow,15,0,2,
trial_9_9,Show me Full Body,1,0,0,
50,50,50,50,50,
trial_10_1,Show me Lower Body,3,2,0,
trial_10_2,Show me left knee,21,0,2,
trial_10_3,Show me right shoulder,9,2,2,
trial_10_4,Show me Left Leg,8,2,0,
trial_10_5,Show me left hip,20,1,1,
50,50,50,50,50,
trial_11_1,Show me Right Arm,4,0,2,
trial_11_2,Show me rigth hip,17,1,0,
trial_11_3,Show me Left Leg,8,1,2,
