"notation: 
node: 1:full_body, 2:torso, 3:right_leg
action_channel: 1:alpha, 2:beta, 3:gamma
action_size: 1:small, 2:medium,3:large
action_scale: 1:small, 2:meium, 3:large",,,,,,,,,,,,
,,,,,,,,,,,,
Sample Conversation,,,,,,,,,,,,
(t=0) Q1: Show me full body?,,,,,,,,,,,,
"(t=0) A1: <bubble for full_body with channel = alpha, size = small, space = medium>",,,,,,,,,,,,
(t=1) Q2: Show me torso?,,,,,,,,,,,,
"(t=1) A2: <bubble for torso with channel = alpha, size = medium, space = medium>",,,,,,,,,,,,
,,,,,,,,,,,,
Sample Data,,,,,,,,,,,,
At time t = 0,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,1,1,1,1,2,0.2
2,0.45,0,0.778,0,0,0,0
3,0.2,0,0.56,0,0,0,0
At time t = 1,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,1,0,0,0,1,1,2,2,0.2
2,0.45,0,0.778,0,0,0,1
3,0.2,0,0.56,0,0,0,0
,,,,,,,,,,,,
Sample Conversation,,,,,,,,,,,,
(t=0) Q1: Show me torso?,,,,,,,,,,,,
"(t=0) A1: <bubble for torso with channel = alpha, size = small, space = medium>",,,,,,,,,,,,
(t=1) Q2: Show me full body?,,,,,,,,,,,,
"(t=1) A2: <bubble for full_body with channel = alpha, size = medium, space = medium>",,,,,,,,,,,,
,,,,,,,,,,,,
Sample Data,,,,,,,,,,,,
At time t = 0,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,0,,0,0,0,1.8
2,0.45,0,0.778,0,0,0,1,1,1,1,2,0
3,0.2,0,0.56,0,0,0,0,0,0,0,0,0
At time t = 1,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,1,1,1,2,2,0
2,0.45,0,0.778,1,0,0,0,0,0,0,0,1.8
3,0.2,0,0.56,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
Sample Conversation,,,,,,,,,,,,
(t=0) Q1: Show me right leg?,,,,,,,,,,,,
"(t=0) A1: <bubble for right_leg with channel = alpha, size = small, space = medium>",,,,,,,,,,,,
(t=1) Q2: Show me full body?,,,,,,,,,,,,
"(t=1) A2: <bubble for full body with channel = alpha, size = medium, space = medium>",,,,,,,,,,,,
,,,,,,,,,,,,
Sample Data,,,,,,,,,,,,
At time t = 0,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,0,0,0,0,0,0
2,0.45,0,0.778,0,0,0,0,0,0,0,0,0
3,0.2,0,0.56,0,0,0,1,1,1,1,2,2.6
At time t = 1,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,1,1,1,2,2,2.6
2,0.45,0,0.778,0,0,0,0,0,0,0,0,0
3,0.2,0,0.56,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
Sample Conversation,,,,,,,,,,,,
(t=0) Q1: Show me full body?,,,,,,,,,,,,
"(t=0) A1: <bubble for full_body with channel = alpha, size = small, space = small>",,,,,,,,,,,,
(t=1) Q2: Show me right leg?,,,,,,,,,,,,
"(t=1) A2: <bubble for right leg with channel = alpha, size = small space = small>",,,,,,,,,,,,
,,,,,,,,,,,,
Sample Data,,,,,,,,,,,,
At time t = 0,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,1,1,1,1,1,0.7
2,0.45,0,0.778,0,0,0,0,0,0,0,0,0
3,0.2,0,0.56,0,0,0,0,0,0,0,0,0
At time t = 1,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,1,0,0,0,0,0,0,0,0
2,0.45,0,0.778,0,0,0,0,1,1,1,1,0.7
3,0.2,0,0.56,0,0,0,1,0,0,0,0,0.7
,,,,,,,,,,,,
Sample Conversation,,,,,,,,,,,,
(t=0) Q1: Show me torso?,,,,,,,,,,,,
"(t=0) A1: <bubble for torso with channel = alpha, size = small, space = small>",,,,,,,,,,,,
(t=1) Q2: Show me full body?,,,,,,,,,,,,
"(t=1) A2: <bubble for full_body with channel = alpha, size = small, space = small>",,,,,,,,,,,,
,,,,,,,,,,,,
Sample Data,,,,,,,,,,,,
At time t = 0,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,0,,0,0,0,0.8
2,0.45,0,0.778,0,0,0,1,1,1,1,1,0
3,0.2,0,0.56,0,0,0,0,0,0,0,0,0
At time t = 1,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,1,1,1,1,1,0
2,0.45,0,0.778,1,0,0,0,0,0,0,0,0.8
3,0.2,0,0.56,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
Sample Conversation,,,,,,,,,,,,
(t=0) Q1: Show me right leg?,,,,,,,,,,,,
"(t=0) A1: <bubble for right_leg with channel = alpha, size = medium, space = medium>",,,,,,,,,,,,
(t=1) Q2: Show me full body?,,,,,,,,,,,,
"(t=1) A2: <bubble for full body with channel = alpha, size = medium, space = medium>",,,,,,,,,,,,
,,,,,,,,,,,,
Sample Data,,,,,,,,,,,,
At time t = 0,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,0,0,0,0,0,0
2,0.45,0,0.778,0,0,0,0,0,0,0,0,0
3,0.2,0,0.56,0,0,0,1,1,1,2,2,1.9
At time t = 1,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,1,1,1,2,2,1.9
2,0.45,0,0.778,0,0,0,0,0,0,0,0,0
3,0.2,0,0.56,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
Sample Conversation,,,,,,,,,,,,
(t=0) Q1: Show me torso?,,,,,,,,,,,,
"(t=0) A1: <bubble for torso with channel = alpha, size = small, space = small>",,,,,,,,,,,,
(t=1) Q2: Show me full body?,,,,,,,,,,,,
"(t=1) A2: <bubble for full_body with channel = alpha, size = small, space = small>",,,,,,,,,,,,
,,,,,,,,,,,,
Sample Data,,,,,,,,,,,,
At time t = 0,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,0,,0,0,0,1.5
2,0.45,0,0.778,0,0,0,1,1,1,2,2,0
3,0.2,0,0.56,0,0,0,0,0,0,0,0,0
At time t = 1,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,1,1,1,2,2,0
2,0.45,0,0.778,1,0,0,0,0,0,0,0,1.5
3,0.2,0,0.56,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
Sample Conversation,,,,,,,,,,,,
(t=0) Q1: Show me right leg?,,,,,,,,,,,,
"(t=0) A1: <bubble for right_leg with channel = alpha, size = medium, space = small>",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sample Data,,,,,,,,,,,,
At time t = 0,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,0,0,0,0,0,0
2,0.45,0,0.778,0,0,0,0,0,0,0,0,0
3,0.2,0,0.56,0,0,0,1,1,1,2,1,0.9
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sample Conversation,,,,,,,,,,,,
(t=0) Q1: Show me full body?,,,,,,,,,,,,
"(t=0) A1: <bubble for full_body with channel = alpha, size = medium, space = small>",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sample Data,,,,,,,,,,,,
At time t = 0,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,1,1,1,1,2,0.3
2,0.45,0,0.778,0,0,0,0,0,0,0,0,0
3,0.2,0,0.56,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sample Conversation,,,,,,,,,,,,
(t=0) Q1: Show me full body?,,,,,,,,,,,,
"(t=0) A1: <bubble for full_body with channel = alpha, size = small, space = small>",,,,,,,,,,,,
(t=1) Q2: Show me torso?,,,,,,,,,,,,
"(t=1) A2: <bubble for right leg with channel = alpha, size = medium, space = medium>",,,,,,,,,,,,
,,,,,,,,,,,,
Sample Data,,,,,,,,,,,,
At time t = 0,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,0,0,0,1,1,1,1,1,0.3
2,0.45,0,0.778,0,0,0,0,0,0,0,0,0
3,0.2,0,0.56,0,0,0,0,0,0,0,0,0
At time t = 1,,,,,,,,,,,,
node,alpha,beta,gamma,u_alpha,u_beta,u_gamma,question,action_node,action_channel,action_size,action_scale,reward
1,0.78,0.4,0,1,0,0,0,0,0,0,0,0
2,0.45,0,0.778,0,0,0,1,1,1,2,2,0.3
3,0.2,0,0.56,0,0,0,0,0,0,0,0,0
